Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!English only,Margin of Error!!Total!!English only,Estimate!!Total!!Spanish,Margin of Error!!Total!!Spanish,"Estimate!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other Indo-European languages,Margin of Error!!Total!!Other Indo-European languages,"Estimate!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Asian and Pacific Island languages,Margin of Error!!Total!!Asian and Pacific Island languages,"Estimate!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other languages,Margin of Error!!Total!!Other languages,"Estimate!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well"""""
0400000US48,Texas,8782598,17197,5767760,11645,2475172,8876,614497,5940,1860675,9263,235761,3471,25800,1292,209961,3444,239814,2792,64735,1487,175079,2668,64091,1877,9527,774,54564,1752
0500000US48001,"Anderson County, Texas",16245,404,14554,422,1544,222,265,102,1279,213,34,28,0,30,34,28,76,41,3,7,73,42,37,32,0,30,37,32
0500000US48003,"Andrews County, Texas",5183,213,2930,178,2164,190,545,171,1619,199,25,33,0,20,25,33,64,36,19,21,45,33,0,20,0,20,0,20
0500000US48005,"Angelina County, Texas",30846,543,26056,536,4332,346,1100,253,3232,326,331,123,2,4,329,123,105,65,0,30,105,65,22,29,0,30,22,29
0500000US48007,"Aransas County, Texas",9825,471,7956,416,1618,238,224,88,1394,245,62,58,0,24,62,58,149,73,6,13,143,72,40,47,26,41,14,24
0500000US48009,"Archer County, Texas",3330,144,3143,131,164,39,40,23,124,34,12,13,0,18,12,13,11,14,0,18,11,14,0,18,0,18,0,18
0500000US48011,"Armstrong County, Texas",668,61,650,55,7,10,0,13,7,10,0,13,0,13,0,13,11,14,0,13,11,14,0,13,0,13,0,13
0500000US48013,"Atascosa County, Texas",14995,392,7511,391,7379,397,1388,270,5991,426,48,40,12,21,36,34,36,34,18,27,18,27,21,30,0,27,21,30
0500000US48015,"Austin County, Texas",10600,325,8708,315,1563,225,344,147,1219,224,297,80,44,29,253,76,32,29,13,21,19,21,0,24,0,24,0,24
0500000US48017,"Bailey County, Texas",2357,169,1162,171,1195,202,319,144,876,212,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48019,"Bandera County, Texas",8495,328,7277,345,1004,176,32,36,972,170,154,80,3,5,151,81,60,25,8,12,52,30,0,24,0,24,0,24
