Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Income in the past 12 months below poverty level,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak only English,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak only English,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Spanish,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak only English,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak only English,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Spanish,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other languages,Estimate!!Total!!Income in the past 12 months at or above poverty level,Margin of Error!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak only English,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak only English,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Spanish,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak only English,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak only English,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Spanish,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other languages
0400000US48,Texas,22702240,2503,3735420,24142,1144194,11731,526077,8171,588200,8638,10657,1189,12077,1069,7183,1361,2591226,15329,1319896,11312,1143941,10604,48837,2505,58162,2412,20390,1710,18966820,24796,3718030,12323,2595706,11877,970221,8433,55762,2345,78740,2347,17601,1673,15248790,15641,10356632,17047,4009994,10846,346915,6070,437619,4462,97630,3212
0500000US48001,"Anderson County, Texas",44568,664,8249,1035,2022,370,1386,314,588,233,0,30,48,54,0,30,6227,864,5159,813,989,270,28,48,51,55,0,30,36319,1185,6212,376,5428,307,742,203,0,30,38,31,4,11,30107,1000,27743,969,2168,423,25,23,123,72,48,47
0500000US48003,"Andrews County, Texas",13526,140,1930,464,716,266,455,247,261,169,0,20,0,20,0,20,1214,263,574,188,613,229,0,20,27,27,0,20,11596,509,2283,330,1301,251,904,245,22,35,56,58,0,20,9313,265,5717,252,3457,269,6,16,133,76,0,20
0500000US48005,"Angelina County, Texas",77157,364,13757,1371,4461,744,2980,643,1451,412,30,50,0,30,0,30,9296,839,7282,763,1986,415,27,31,0,30,1,2,63400,1462,11937,744,9898,668,2039,400,0,30,0,30,0,30,51463,928,44068,904,6749,525,360,145,230,135,56,59
0500000US48007,"Aransas County, Texas",21653,193,3562,717,870,313,573,304,297,191,0,24,0,24,0,24,2692,532,1882,444,739,228,25,31,46,54,0,24,18091,752,2372,316,2108,280,242,152,0,24,22,41,0,24,15719,561,13336,525,1968,303,92,105,257,96,66,80
0500000US48009,"Archer County, Texas",8416,47,912,229,241,92,225,91,15,15,0,18,1,5,0,18,671,162,600,157,70,41,0,18,1,2,0,18,7504,236,1449,92,1339,97,110,34,0,18,0,18,0,18,6055,168,5674,172,329,71,15,16,37,44,0,18
0500000US48011,"Armstrong County, Texas",1642,111,225,96,53,32,11,15,42,30,0,13,0,13,0,13,172,77,133,63,39,42,0,13,0,13,0,13,1417,120,246,57,243,58,0,13,0,13,3,5,0,13,1171,99,1159,97,5,12,3,4,4,6,0,13
0500000US48013,"Atascosa County, Texas",41290,161,6729,987,2052,431,1205,344,847,270,0,27,0,27,0,27,4677,703,2021,493,2655,502,1,2,0,27,0,27,34561,999,7397,430,5397,502,1929,403,39,55,0,27,32,53,27164,719,16049,740,10928,655,73,63,71,64,43,59
0500000US48015,"Austin County, Texas",26339,54,2290,491,602,302,393,181,209,223,0,24,0,24,0,24,1688,282,1349,285,308,156,31,30,0,24,0,24,24049,497,4713,301,3712,247,992,319,9,12,0,24,0,24,19336,299,15813,505,3067,402,422,123,34,33,0,24
0500000US48017,"Bailey County, Texas",6387,94,660,287,154,113,21,39,133,94,0,18,0,18,0,18,506,221,253,152,253,136,0,18,0,18,0,18,5727,315,1491,179,730,267,761,296,0,18,0,18,0,18,4236,253,2431,453,1805,393,0,18,0,18,0,18
0500000US48019,"Bandera County, Texas",19301,110,2885,604,629,283,541,259,88,80,0,24,0,24,0,24,2256,445,2046,411,179,154,31,37,0,24,0,24,16416,605,2316,283,2148,296,168,95,0,24,0,24,0,24,14100,436,12490,431,1396,292,122,72,92,12,0,24
0500000US48021,"Bastrop County, Texas",66786,297,8966,1350,2752,645,1810,503,942,345,0,30,0,30,0,30,6214,858,4114,602,2100,500,0,30,0,30,0,30,57820,1367,11406,651,8402,701,2922,502,9,16,73,58,0,30,46414,880,36344,847,9274,805,339,130,397,131,60,70
0500000US48023,"Baylor County, Texas",3440,108,451,127,16,26,16,26,0,13,0,13,0,13,0,13,435,125,398,123,37,34,0,13,0,13,0,13,2989,180,478,82,425,79,53,49,0,13,0,13,0,13,2511,160,2378,178,101,65,32,43,0,13,0,13
0500000US48025,"Bee County, Texas",22091,456,4880,693,1597,406,1401,400,132,78,64,97,0,27,0,27,3283,452,1529,357,1684,345,64,69,6,14,0,27,17211,836,3238,405,2693,398,529,217,16,23,0,27,0,27,13973,597,8692,519,5197,464,18,25,38,38,28,51
0500000US48027,"Bell County, Texas",272256,625,36753,2330,11598,1197,9304,1129,1691,402,440,272,150,84,13,24,25155,1509,19553,1202,4104,561,723,317,752,233,23,29,235503,2399,47142,1252,40357,1281,5374,762,740,243,547,255,124,110,188361,1617,155798,1791,22863,1262,4359,523,4633,598,708,294
