Geography,Geographic Area Name,"No one age 14 and over speaks English only or speaks English very well""!!Estimate!!All households""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!All households""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Spanish""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Spanish""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Other Indo-European languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Other Indo-European languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Asian and Pacific Island languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Asian and Pacific Island languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!Households speaking!!Other languages""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!Households speaking!!Other languages""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Language status""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Language status""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)""","No one age 14 and over speaks English only or speaks English very well""!!Estimate!!PERCENT IMPUTED!!Ability to speak English""","No one age 14 and over speaks English only or speaks English very well""!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English"""
0400000US48,Texas,8.1,0.1,24.8,0.2,10.9,0.5,27,0.6,14.9,1.1,2.8,(X),2.3,(X),2.8,(X)
0500000US48001,"Anderson County, Texas",1.6,0.6,17.2,6.3,0,54.6,3.9,11.6,0,52.4,3.3,(X),5.4,(X),6.1,(X)
0500000US48003,"Andrews County, Texas",10.9,3.3,25.2,7.2,0,63.7,29.7,32,-,**,2.6,(X),0.9,(X),1.1,(X)
0500000US48005,"Angelina County, Texas",3.6,0.8,25.4,5.2,0.6,1.2,0,29.2,0,67.9,3.1,(X),2.6,(X),3.3,(X)
0500000US48007,"Aransas County, Texas",2.6,1,13.8,5.6,0,40.5,4,8.4,65,58.5,1.9,(X),0.6,(X),3.3,(X)
0500000US48009,"Archer County, Texas",1.2,0.7,24.4,12.5,0,92,0,96,-,**,2.6,(X),1.4,(X),3.2,(X)
0500000US48011,"Armstrong County, Texas",0,5.5,0,100,-,**,0,96,-,**,4.1,(X),0,(X),2.4,(X)
0500000US48013,"Atascosa County, Texas",9.5,1.8,18.8,3.6,25,37.3,50,50,0,69.5,2.9,(X),3,(X),3.3,(X)
0500000US48015,"Austin County, Texas",3.8,1.4,22,9,14.8,9.3,40.6,49.7,-,**,2.9,(X),4.1,(X),4.4,(X)
0500000US48017,"Bailey County, Texas",13.5,6.1,26.7,11.7,-,**,-,**,-,**,2.2,(X),0.9,(X),0.9,(X)
0500000US48019,"Bandera County, Texas",0.5,0.4,3.2,3.5,1.9,3.6,13.3,23.3,-,**,2.1,(X),1.2,(X),0.7,(X)
0500000US48021,"Bastrop County, Texas",5.4,1.4,24.6,5.7,0,12.2,8.3,13.2,0,44.6,2.5,(X),2.3,(X),3.1,(X)
0500000US48023,"Baylor County, Texas",0.7,1,15.9,18.7,0,55.5,-,**,-,**,2.7,(X),2.2,(X),2.2,(X)
0500000US48025,"Bee County, Texas",7.2,1.9,16,4,0,45.5,0,50.4,0,60.2,1.5,(X),1,(X),2.1,(X)
0500000US48027,"Bell County, Texas",3,0.4,16.8,2.4,6.4,2.5,15.1,4.3,0,8.1,2.7,(X),2,(X),2.6,(X)
0500000US48029,"Bexar County, Texas",7.2,0.3,14.4,0.5,9.3,1.6,20.8,2.7,16.8,5.6,2.9,(X),2.7,(X),3.2,(X)
0500000US48031,"Blanco County, Texas",6,2.1,35.5,12.1,0,35.3,0,100,100,100,4.7,(X),7.5,(X),7.5,(X)
0500000US48033,"Borden County, Texas",0,14.5,0,71.2,0,100,-,**,-,**,1.7,(X),0,(X),0,(X)
0500000US48035,"Bosque County, Texas",2.9,1.2,27.6,9.9,0,58.2,0,100,0,100,2.3,(X),3.2,(X),4.6,(X)
0500000US48037,"Bowie County, Texas",1.1,0.4,18.6,8.4,1,1.5,20.9,12.5,22.8,43.9,2.9,(X),2.9,(X),3.6,(X)
0500000US48039,"Brazoria County, Texas",3.8,0.5,14.3,1.8,7.1,3.7,19.8,5.2,7.7,11.7,2.6,(X),1.6,(X),2.4,(X)
0500000US48041,"Brazos County, Texas",6.5,0.7,27.2,3.6,18.7,5.2,34.5,6.9,8,8.9,2.9,(X),2.6,(X),3.1,(X)
0500000US48043,"Brewster County, Texas",3.6,1.6,8.5,3.8,10,19.7,0,67.9,-,**,2.1,(X),1.6,(X),1.6,(X)
0500000US48045,"Briscoe County, Texas",5,2.6,29.2,14.3,-,**,-,**,-,**,0.8,(X),0.7,(X),0.7,(X)
0500000US48047,"Brooks County, Texas",19.8,5.7,22,6.4,-,**,70.8,52.2,-,**,1.9,(X),0.9,(X),1.1,(X)
0500000US48049,"Brown County, Texas",1.7,0.7,14.8,6.1,23.4,31.6,63.4,33.8,-,**,2.1,(X),4.9,(X),5.7,(X)
0500000US48051,"Burleson County, Texas",2.7,1.6,21,12.5,29.5,34.6,0,63.7,-,**,6.4,(X),14.4,(X),15.2,(X)
0500000US48053,"Burnet County, Texas",3.5,1.3,25.8,8.7,14.6,24.6,79,28.9,0,66.4,3.3,(X),4.7,(X),4.4,(X)
0500000US48055,"Caldwell County, Texas",3.7,1,10.5,2.7,0,55.5,0,82.3,-,**,3.6,(X),2.5,(X),2.8,(X)
0500000US48057,"Calhoun County, Texas",7.1,1.5,21.6,4.9,0,39.5,52.4,22.8,0,100,2.4,(X),2.2,(X),3,(X)
0500000US48059,"Callahan County, Texas",0.4,0.4,7.7,7,0,63.7,0,100,0,66.4,2.5,(X),2.5,(X),2.6,(X)
0500000US48061,"Cameron County, Texas",18.1,0.7,24.1,1,11.4,6,18.2,7.9,5.8,8.5,2.7,(X),2.7,(X),3,(X)
0500000US48063,"Camp County, Texas",5.9,2.1,38.1,13.6,66.7,55.7,0,100,73.3,53.5,1.5,(X),0,(X),0.8,(X)
0500000US48065,"Carson County, Texas",0.6,0.9,8,12.2,0,88.4,0,100,-,**,3.1,(X),0,(X),0,(X)
0500000US48067,"Cass County, Texas",0.6,0.4,17.4,11,0,35.8,24.5,25.7,0,85.1,1.8,(X),1.3,(X),4,(X)
0500000US48069,"Castro County, Texas",14.5,3.9,30,7.9,0,100,0,92,-,**,1.7,(X),1.6,(X),2,(X)
0500000US48071,"Chambers County, Texas",3.5,1.4,19.1,8.5,2,3.6,30,38,0,92,2.8,(X),2.8,(X),4.1,(X)
0500000US48073,"Cherokee County, Texas",3.8,0.8,30.3,6.7,10.6,23.3,22.6,33,0,59.2,2.5,(X),0.7,(X),0.8,(X)
0500000US48075,"Childress County, Texas",2,2.4,5.4,11.1,77.3,45.2,0,92,-,**,4.3,(X),1.3,(X),2.5,(X)
0500000US48077,"Clay County, Texas",0.4,0.4,15.2,14.9,0,66.4,0,100,-,**,3.4,(X),5.9,(X),6.2,(X)
0500000US48079,"Cochran County, Texas",11.9,4.1,26.4,8.6,0,88.4,0,100,-,**,1.8,(X),1.2,(X),0.9,(X)
0500000US48081,"Coke County, Texas",0.7,0.7,5,5.2,0,100,-,**,-,**,1.8,(X),4,(X),7,(X)
0500000US48083,"Coleman County, Texas",1.4,1,23.3,15.4,0,62.5,0,100,-,**,3.2,(X),14.2,(X),15.9,(X)
0500000US48085,"Collin County, Texas",5.4,0.3,21.3,1.8,15.1,2.3,24.9,2.3,8.5,2.8,2.2,(X),1.7,(X),2.4,(X)
0500000US48087,"Collingsworth County, Texas",5.3,3.5,21.8,15.6,53.3,53.3,-,**,0,100,2.4,(X),1.5,(X),1.5,(X)
0500000US48089,"Colorado County, Texas",3.2,1.3,16.3,6.9,9.6,14.8,60,59,-,**,3.1,(X),1.8,(X),2.1,(X)
0500000US48091,"Comal County, Texas",2.5,0.6,12.5,2.9,2.8,2.2,20.4,17.4,41.9,53.4,3.2,(X),3,(X),3.4,(X)
0500000US48093,"Comanche County, Texas",3,1.2,18.8,7.4,13.5,24.3,0,100,-,**,3.7,(X),0.5,(X),1.4,(X)
0500000US48095,"Concho County, Texas",5.9,3.4,27,14.6,50,50,-,**,-,**,14.3,(X),25.9,(X),26.7,(X)
