Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!English only,Margin of Error!!Total:!!English only,Estimate!!Total:!!Spanish:,Margin of Error!!Total:!!Spanish:,Estimate!!Total:!!Spanish:!!Limited English speaking household,Margin of Error!!Total:!!Spanish:!!Limited English speaking household,Estimate!!Total:!!Spanish:!!Not a limited English speaking household,Margin of Error!!Total:!!Spanish:!!Not a limited English speaking household,"Estimate!!Total:!!French, Haitian, or Cajun:","Margin of Error!!Total:!!French, Haitian, or Cajun:","Estimate!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household",Estimate!!Total:!!German or other West Germanic languages:,Margin of Error!!Total:!!German or other West Germanic languages:,Estimate!!Total:!!German or other West Germanic languages:!!Limited English speaking household,Margin of Error!!Total:!!German or other West Germanic languages:!!Limited English speaking household,Estimate!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household,Margin of Error!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household,"Estimate!!Total:!!Russian, Polish, or other Slavic languages:","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household",Estimate!!Total:!!Other Indo-European languages:,Margin of Error!!Total:!!Other Indo-European languages:,Estimate!!Total:!!Other Indo-European languages:!!Limited English speaking household,Margin of Error!!Total:!!Other Indo-European languages:!!Limited English speaking household,Estimate!!Total:!!Other Indo-European languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other Indo-European languages:!!Not a limited English speaking household,Estimate!!Total:!!Korean:,Margin of Error!!Total:!!Korean:,Estimate!!Total:!!Korean:!!Limited English speaking household,Margin of Error!!Total:!!Korean:!!Limited English speaking household,Estimate!!Total:!!Korean:!!Not a limited English speaking household,Margin of Error!!Total:!!Korean:!!Not a limited English speaking household,"Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household",Estimate!!Total:!!Vietnamese:,Margin of Error!!Total:!!Vietnamese:,Estimate!!Total:!!Vietnamese:!!Limited English speaking household,Margin of Error!!Total:!!Vietnamese:!!Limited English speaking household,Estimate!!Total:!!Vietnamese:!!Not a limited English speaking household,Margin of Error!!Total:!!Vietnamese:!!Not a limited English speaking household,Estimate!!Total:!!Tagalog (incl. Filipino):,Margin of Error!!Total:!!Tagalog (incl. Filipino):,Estimate!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household,Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household,Estimate!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household,Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household,Estimate!!Total:!!Other Asian and Pacific Island languages:,Margin of Error!!Total:!!Other Asian and Pacific Island languages:,Estimate!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household,Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household,Estimate!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household,Estimate!!Total:!!Arabic:,Margin of Error!!Total:!!Arabic:,Estimate!!Total:!!Arabic:!!Limited English speaking household,Margin of Error!!Total:!!Arabic:!!Limited English speaking household,Estimate!!Total:!!Arabic:!!Not a limited English speaking household,Margin of Error!!Total:!!Arabic:!!Not a limited English speaking household,Estimate!!Total:!!Other and unspecified languages:,Margin of Error!!Total:!!Other and unspecified languages:,Estimate!!Total:!!Other and unspecified languages:!!Limited English speaking household,Margin of Error!!Total:!!Other and unspecified languages:!!Limited English speaking household,Estimate!!Total:!!Other and unspecified languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other and unspecified languages:!!Not a limited English speaking household
0400000US48,Texas,10490553,15608,6607525,15164,3061870,9837,607599,7711,2454271,12168,53771,2227,5711,810,48060,2155,47297,1791,2191,383,45106,1740,32371,1633,3615,485,28756,1629,180996,3480,17518,1154,163478,3173,33905,1682,8492,725,25413,1443,85354,2709,21630,1293,63724,2538,87802,2363,26121,1572,61681,2107,44587,1991,3105,478,41482,1889,118292,2740,16785,1244,101507,2662,43467,2278,6218,874,37249,2206,93316,3091,10223,980,83093,3144
0500000US48001,"Anderson County, Texas",16899,459,15159,560,1392,271,135,70,1257,240,3,6,0,35,3,6,23,30,0,35,23,30,11,17,0,35,11,17,55,77,0,35,55,77,4,6,0,35,4,6,0,35,0,35,0,35,63,51,63,51,0,35,15,20,0,35,15,20,39,34,10,20,29,31,0,35,0,35,0,35,135,84,13,26,122,81
0500000US48003,"Andrews County, Texas",6603,171,3519,233,2945,229,590,213,2355,269,5,30,0,23,5,30,13,20,0,23,13,20,0,23,0,23,0,23,0,23,0,23,0,23,14,23,0,23,14,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,34,61,0,23,34,61,0,23,0,23,0,23,73,102,0,23,73,102
0500000US48005,"Angelina County, Texas",31583,510,26215,586,4752,390,675,224,4077,357,52,54,15,26,37,48,20,26,0,35,20,26,0,35,0,35,0,35,103,71,0,35,103,71,11,16,0,35,11,16,22,26,0,35,22,26,35,30,24,26,11,18,138,70,0,35,138,70,50,42,0,35,50,42,57,89,0,35,57,89,128,99,0,35,128,99
0500000US48007,"Aransas County, Texas",11412,504,8551,579,2412,427,316,214,2096,385,22,40,0,28,22,40,142,95,0,28,142,95,0,28,0,28,0,28,9,14,0,28,9,14,0,28,0,28,0,28,0,28,0,28,0,28,172,175,58,99,114,162,0,28,0,28,0,28,101,146,0,28,101,146,0,28,0,28,0,28,3,5,0,28,3,5
0500000US48009,"Archer County, Texas",3367,121,3134,125,182,65,62,34,120,57,15,18,0,21,15,18,30,31,0,21,30,31,0,21,0,21,0,21,3,4,0,21,3,4,0,21,0,21,0,21,3,5,3,5,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48011,"Armstrong County, Texas",725,69,666,64,55,26,0,15,55,26,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,2,3,0,15,2,3,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,2,3,0,15,2,3
0500000US48013,"Atascosa County, Texas",15920,452,8585,454,7099,464,1237,382,5862,516,9,15,0,31,9,15,108,82,0,31,108,82,16,26,0,31,16,26,43,47,0,31,43,47,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,21,29,0,31,21,29,0,31,0,31,0,31,39,51,0,31,39,51,0,31,0,31,0,31
0500000US48015,"Austin County, Texas",11913,331,8731,406,2565,326,132,101,2433,336,72,55,0,31,72,55,232,103,27,47,205,98,131,117,3,6,128,118,100,99,0,31,100,99,0,31,0,31,0,31,0,31,0,31,0,31,43,64,0,31,43,64,0,31,0,31,0,31,35,35,0,31,35,35,1,4,0,31,1,4,3,6,0,31,3,6
0500000US48017,"Bailey County, Texas",1933,229,922,129,968,227,239,128,729,219,0,21,0,21,0,21,26,35,0,21,26,35,0,21,0,21,0,21,4,7,0,21,4,7,0,21,0,21,0,21,0,21,0,21,0,21,13,16,0,21,13,16,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48019,"Bandera County, Texas",8532,301,7022,351,1289,196,115,107,1174,188,10,18,0,28,10,18,134,66,45,47,89,50,10,16,0,28,10,16,14,15,0,28,14,15,0,28,0,28,0,28,7,10,0,28,7,10,22,38,0,28,22,38,14,24,0,28,14,24,10,16,0,28,10,16,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48021,"Bastrop County, Texas",33259,671,23506,713,8798,617,1032,315,7766,693,22,37,0,35,22,37,438,165,29,38,409,161,32,37,0,35,32,37,100,80,0,35,100,80,30,40,5,10,25,39,56,59,0,35,56,59,37,41,0,35,37,41,5,10,0,35,5,10,124,128,66,110,58,59,0,35,0,35,0,35,111,102,0,35,111,102
0500000US48023,"Baylor County, Texas",1477,97,1290,116,139,64,8,16,131,67,0,15,0,15,0,15,24,29,0,15,24,29,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,24,35,0,15,24,35,0,15,0,15,0,15,0,15,0,15,0,15
