Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages
0400000US48,Texas,26720703,3141,3590691,32178,1013378,15582,520475,9610,455818,10573,11099,1473,10741,1473,15245,2091,2577313,20031,1420471,12280,998372,12412,51180,2840,68539,3237,38751,2817,23130012,32411,4397405,15710,3074501,17515,1112074,10823,78394,3110,99301,3482,33135,2510,18732607,20100,12276796,28236,5096548,18322,500083,8258,650718,8598,208462,6667
0500000US48001,"Anderson County, Texas",42555,184,6162,932,1635,413,1417,374,153,125,65,91,0,35,0,35,4527,656,3919,676,444,254,36,58,128,109,0,35,36393,954,6396,417,5848,402,548,180,0,35,0,35,0,35,29997,684,27712,834,1934,477,23,22,155,81,173,120
0500000US48003,"Andrews County, Texas",16729,13,1989,684,553,331,439,298,114,111,0,23,0,23,0,23,1436,428,600,250,836,381,0,23,0,23,0,23,14740,684,3569,331,2581,397,988,296,0,23,0,23,0,23,11171,429,6483,439,4567,467,18,35,30,32,73,102
0500000US48005,"Angelina County, Texas",78480,238,12365,1514,3696,695,2406,550,1166,428,0,35,0,35,124,168,8669,1026,7047,807,1486,545,36,49,12,19,88,125,66115,1511,12351,719,9809,589,2354,465,10,17,51,55,127,174,53764,1013,44081,844,8849,663,210,133,379,100,245,225
0500000US48007,"Aransas County, Texas",22697,9,3898,825,902,324,902,324,0,28,0,28,0,28,0,28,2996,629,1998,527,969,431,22,40,7,7,0,28,18799,825,2222,334,1967,294,255,216,0,28,0,28,0,28,16577,646,13600,652,2427,498,158,95,381,281,11,17
0500000US48009,"Archer County, Texas",8142,39,965,196,310,86,284,79,26,24,0,21,0,21,0,21,655,153,603,149,44,33,6,7,2,4,0,21,7177,200,1190,91,1083,101,76,62,27,40,4,7,0,21,5987,161,5596,178,322,90,66,64,3,5,0,21
0500000US48011,"Armstrong County, Texas",1737,128,101,52,13,16,13,16,0,15,0,15,0,15,0,15,88,47,62,34,26,28,0,15,0,15,0,15,1636,145,296,52,296,52,0,15,0,15,0,15,0,15,1340,121,1234,104,102,47,0,15,2,3,2,3
0500000US48013,"Atascosa County, Texas",45263,210,6190,948,1576,448,1211,405,365,227,0,31,0,31,0,31,4614,700,2518,460,2034,449,62,89,0,31,0,31,39073,998,8028,465,5531,601,2413,518,11,13,2,4,71,90,31045,709,17740,885,12948,935,195,122,87,101,75,101
0500000US48015,"Austin County, Texas",28479,104,3186,646,616,217,488,181,113,116,15,25,0,31,0,31,2570,527,2124,490,419,233,27,33,0,31,0,31,25293,655,4841,227,3823,312,956,238,31,49,29,62,2,3,20452,545,15594,515,4079,435,661,257,111,119,7,11
0500000US48017,"Bailey County, Texas",6120,142,752,318,176,186,3,5,173,186,0,21,0,21,0,21,576,211,288,140,199,151,17,30,72,60,0,21,5368,297,1084,209,396,169,683,175,5,11,0,21,0,21,4284,229,1637,308,2599,293,48,58,0,21,0,21
0500000US48019,"Bandera County, Texas",20070,178,2778,603,484,257,481,256,0,28,3,12,0,28,0,28,2294,514,2011,486,276,149,7,12,0,28,0,28,17292,636,2116,268,1875,255,229,167,0,28,12,18,0,28,15176,510,12976,466,1916,313,202,95,51,35,31,51
0500000US48021,"Bastrop County, Texas",89649,166,10168,1881,3452,965,1252,582,2200,739,0,35,0,35,0,35,6716,1160,3983,815,2663,671,66,70,4,7,0,35,79481,1885,15220,941,9956,690,5240,847,0,35,0,35,24,37,64261,1198,46293,1466,16531,1378,786,338,532,161,119,98
0500000US48023,"Baylor County, Texas",3234,59,377,118,44,25,44,25,0,15,0,15,0,15,0,15,333,110,248,93,85,45,0,15,0,15,0,15,2857,111,611,85,554,99,0,15,57,62,0,15,0,15,2246,131,2132,125,71,60,24,29,19,29,0,15
0500000US48025,"Bee County, Texas",22020,221,4055,775,1001,337,909,322,92,83,0,31,0,31,0,31,3054,558,1790,412,1264,319,0,31,0,31,0,31,17965,803,3571,313,3155,364,406,167,0,31,10,21,0,31,14394,592,8385,531,5769,672,194,122,37,43,9,10
0500000US48027,"Bell County, Texas",331730,784,46986,3522,15275,1980,12098,1905,2885,867,110,104,65,67,117,106,31711,2180,24378,1902,5632,821,736,322,698,291,267,157,284744,3550,56293,1979,49183,1830,5473,768,794,314,557,233,286,212,228451,2196,181707,2516,34108,1489,4792,678,6008,610,1836,471
0500000US48029,"Bexar County, Texas",1845485,1244,270452,7874,76767,3937,50212,3364,23775,2234,1224,506,572,305,984,441,193685,5226,96622,3589,88455,3722,2818,628,3709,807,2081,638,1575033,8283,288698,4331,220387,4712,60378,2490,3333,685,3198,596,1402,455,1286335,5252,773232,6646,459521,6079,20723,2076,25720,1473,7139,1382
