Geography,Geographic Area Name,Estimate!!Total!!All households,Margin of Error!!Total!!All households,Estimate!!Total!!All households!!Households speaking --!!Spanish,Margin of Error!!Total!!All households!!Households speaking --!!Spanish,Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Total!!All households!!Households speaking --!!Other languages,Margin of Error!!Total!!All households!!Households speaking --!!Other languages,Estimate!!Percent!!All households,Margin of Error!!Percent!!All households,Estimate!!Percent!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent!!All households!!Households speaking --!!Spanish,Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent!!All households!!Households speaking --!!Other languages,Estimate!!Limited English-speaking households!!All households,Margin of Error!!Limited English-speaking households!!All households,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Estimate!!Percent limited English-speaking households!!All households,Margin of Error!!Percent limited English-speaking households!!All households,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages
0400000US48,Texas,10490553,15608,3061870,9837,314435,4718,369940,4843,136783,3772,(X),(X),29.2,0.1,3,0.1,3.5,0.1,1.3,0.1,729208,7967,607599,7711,29035,1474,76133,2192,16441,1320,7,0.1,19.8,0.3,9.2,0.4,20.6,0.6,12,0.9
0500000US48001,"Anderson County, Texas",16899,459,1392,271,92,85,121,50,135,84,(X),(X),8.2,1.6,0.5,0.5,0.7,0.3,0.8,0.5,221,93,135,70,0,35,73,51,13,26,1.3,0.6,9.7,4.4,0,38.3,60.3,31.3,9.6,19.3
0500000US48003,"Andrews County, Texas",6603,171,2945,229,18,35,48,63,73,102,(X),(X),44.6,3.2,0.3,0.5,0.7,0.9,1.1,1.5,590,213,590,213,0,23,0,23,0,23,8.9,3.2,20,7,0,86.7,0,53.1,0,43.1
0500000US48005,"Angelina County, Texas",31583,510,4752,390,175,83,256,85,185,135,(X),(X),15,1.2,0.6,0.3,0.8,0.3,0.6,0.4,714,228,675,224,15,26,24,26,0,35,2.3,0.7,14.2,4.4,8.6,13.9,9.4,10.6,0,23.4
0500000US48007,"Aransas County, Texas",11412,504,2412,427,173,105,273,201,3,5,(X),(X),21.1,3.4,1.5,0.9,2.4,1.8,0,0.1,374,226,316,214,0,28,58,99,0,28,3.3,1.9,13.1,8.3,0,24.7,21.2,36.8,0,100
0500000US48009,"Archer County, Texas",3367,121,182,65,48,34,3,5,0,21,(X),(X),5.4,1.9,1.4,1,0.1,0.2,0,1.5,65,33,62,34,0,21,3,5,0,21,1.9,1,34.1,16.8,0,53.1,100,100,-,**
0500000US48011,"Armstrong County, Texas",725,69,55,26,0,15,2,3,2,3,(X),(X),7.6,3.4,0,6.7,0.3,0.4,0.3,0.5,0,15,0,15,0,15,0,15,0,15,0,6.7,0,49.6,-,**,0,100,0,100
0500000US48013,"Atascosa County, Texas",15920,452,7099,464,176,101,21,29,39,51,(X),(X),44.6,2.5,1.1,0.6,0.1,0.2,0.2,0.3,1237,382,1237,382,0,31,0,31,0,31,7.8,2.4,17.4,5.2,0,24.4,0,80.3,0,58.9
0500000US48015,"Austin County, Texas",11913,331,2565,326,535,181,78,69,4,7,(X),(X),21.5,2.5,4.5,1.5,0.7,0.6,0,0.1,162,110,132,101,30,47,0,31,0,31,1.4,0.9,5.1,3.9,5.6,9.7,0,41.6,0,100
0500000US48017,"Bailey County, Texas",1933,229,968,227,30,37,13,16,0,21,(X),(X),50.1,7.7,1.6,1.9,0.7,0.8,0,2.6,239,128,239,128,0,21,0,21,0,21,12.4,6.4,24.7,12.3,0,67.2,0,100,-,**
0500000US48019,"Bandera County, Texas",8532,301,1289,196,168,74,53,40,0,28,(X),(X),15.1,2.3,2,0.9,0.6,0.5,0,0.6,160,115,115,107,45,47,0,28,0,28,1.9,1.3,8.9,7.9,26.8,23.8,0,50.5,-,**
0500000US48021,"Bastrop County, Texas",33259,671,8798,617,592,190,252,133,111,102,(X),(X),26.5,1.7,1.8,0.6,0.8,0.4,0.3,0.3,1132,342,1032,315,29,38,71,111,0,35,3.4,1,11.7,3.7,4.9,6.4,28.2,31,0,34.4
0500000US48023,"Baylor County, Texas",1477,97,139,64,24,29,24,35,0,15,(X),(X),9.4,4.2,1.6,2,1.6,2.4,0,3.3,8,16,8,16,0,15,0,15,0,15,0.5,1.1,5.8,12.9,0,75.1,0,75.1,-,**
0500000US48025,"Bee County, Texas",8563,288,4147,358,110,71,18,15,6,9,(X),(X),48.4,4,1.3,0.8,0.2,0.2,0.1,0.1,407,155,382,151,18,28,7,12,0,31,4.8,1.8,9.2,3.7,16.4,23.2,38.9,54.4,0,100
0500000US48027,"Bell County, Texas",134495,1042,23319,980,4131,469,4688,600,1380,343,(X),(X),17.3,0.7,3.1,0.4,3.5,0.4,1,0.3,3575,447,2744,409,184,141,566,177,81,88,2.7,0.3,11.8,1.7,4.5,3.3,12.1,3.5,5.9,6.4
0500000US48029,"Bexar County, Texas",730119,2597,306817,3520,14624,1335,17305,898,4775,735,(X),(X),42,0.5,2,0.2,2.4,0.1,0.7,0.1,47348,1904,41741,1725,1424,307,3364,533,819,275,6.5,0.3,13.6,0.5,9.7,2,19.4,2.8,17.2,4.9
0500000US48031,"Blanco County, Texas",4836,230,431,107,66,42,79,68,0,23,(X),(X),8.9,2.2,1.4,0.9,1.6,1.4,0,1,75,57,71,57,0,23,4,7,0,23,1.6,1.2,16.5,12.6,0,45.3,5.1,10.7,-,**
0500000US48033,"Borden County, Texas",215,39,10,11,3,4,0,15,0,15,(X),(X),4.7,4.9,1.4,2,0,20.6,0,20.6,0,15,0,15,0,15,0,15,0,15,0,20.6,0,100,0,100,-,**,-,**
0500000US48035,"Bosque County, Texas",7277,219,1128,156,55,35,51,30,7,11,(X),(X),15.5,2,0.8,0.5,0.7,0.4,0.1,0.2,109,49,92,46,1,3,16,22,0,23,1.5,0.7,8.2,3.9,1.8,5,31.4,28.8,0,100
0500000US48037,"Bowie County, Texas",34486,459,1424,217,417,199,301,90,32,29,(X),(X),4.1,0.6,1.2,0.6,0.9,0.3,0.1,0.1,393,153,279,134,60,60,54,49,0,35,1.1,0.4,19.6,8.9,14.4,15.5,17.9,15.4,0,65
0500000US48039,"Brazoria County, Texas",127264,1090,28510,971,2450,524,6633,488,1336,615,(X),(X),22.4,0.7,1.9,0.4,5.2,0.4,1,0.5,4720,574,3238,542,77,49,1379,350,26,44,3.7,0.4,11.4,1.9,3.1,2.1,20.8,5.1,1.9,3.3
0500000US48041,"Brazos County, Texas",86289,1012,14295,761,2653,337,4247,478,973,233,(X),(X),16.6,0.9,3.1,0.4,4.9,0.6,1.1,0.3,3619,444,2246,369,224,120,965,262,184,115,4.2,0.5,15.7,2.4,8.4,4.7,22.7,5.5,18.9,10.6
