"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"CP02_2022_001E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households"
"CP02_2022to2017_001SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households"
"CP02_2022_002E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household"
"CP02_2022to2017_002SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household"
"CP02_2022_003E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years"
"CP02_2022to2017_003SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years"
"CP02_2022_004E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"CP02_2022to2017_004SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"CP02_2022_005E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years"
"CP02_2022to2017_005SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years"
"CP02_2022_006E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"CP02_2022to2017_006SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"CP02_2022_007E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
"CP02_2022to2017_007SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
"CP02_2022_008E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"CP02_2022to2017_008SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"CP02_2022_009E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"CP02_2022to2017_009SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"CP02_2022_010E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"CP02_2022to2017_010SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"CP02_2022_011E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
"CP02_2022to2017_011SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
"CP02_2022_012E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"CP02_2022to2017_012SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"CP02_2022_013E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"CP02_2022to2017_013SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"CP02_2022_014E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"CP02_2022to2017_014SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"CP02_2022_015E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"CP02_2022to2017_015SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"CP02_2022_016E","2018-2022 Estimates!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"CP02_2022to2017_016SS","Statistical Significance!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
