"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B16010_001E","Estimate!!Total:"
"B16010_001M","Margin of Error!!Total:"
"B16010_002E","Estimate!!Total:!!Less than high school graduate:"
"B16010_002M","Margin of Error!!Total:!!Less than high school graduate:"
"B16010_003E","Estimate!!Total:!!Less than high school graduate:!!In labor force:"
"B16010_003M","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:"
"B16010_004E","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Speak only English"
"B16010_004M","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Speak only English"
"B16010_005E","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Speak Spanish"
"B16010_005M","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Speak Spanish"
"B16010_006E","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Speak other Indo-European languages"
"B16010_006M","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Speak other Indo-European languages"
"B16010_007E","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Speak Asian and Pacific Island languages"
"B16010_007M","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Speak Asian and Pacific Island languages"
"B16010_008E","Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Speak other languages"
"B16010_008M","Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Speak other languages"
"B16010_009E","Estimate!!Total:!!Less than high school graduate:!!Not in labor force:"
"B16010_009M","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force:"
"B16010_010E","Estimate!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak only English"
"B16010_010M","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak only English"
"B16010_011E","Estimate!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak Spanish"
"B16010_011M","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak Spanish"
"B16010_012E","Estimate!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak other Indo-European languages"
"B16010_012M","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak other Indo-European languages"
"B16010_013E","Estimate!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak Asian and Pacific Island languages"
"B16010_013M","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak Asian and Pacific Island languages"
"B16010_014E","Estimate!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak other languages"
"B16010_014M","Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force:!!Speak other languages"
"B16010_015E","Estimate!!Total:!!High school graduate (includes equivalency):"
"B16010_015M","Margin of Error!!Total:!!High school graduate (includes equivalency):"
"B16010_016E","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:"
"B16010_016M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:"
"B16010_017E","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak only English"
"B16010_017M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak only English"
"B16010_018E","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak Spanish"
"B16010_018M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak Spanish"
"B16010_019E","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak other Indo-European languages"
"B16010_019M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak other Indo-European languages"
"B16010_020E","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak Asian and Pacific Island languages"
"B16010_020M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak Asian and Pacific Island languages"
"B16010_021E","Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak other languages"
"B16010_021M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Speak other languages"
"B16010_022E","Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force:"
"B16010_022M","Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force:"
"B16010_023E","Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force:!!Speak only English"
