"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1603_C01_001E","Total!!Estimate!!Total population 5 years and over"
"S1603_C01_001M","Total!!Margin of Error!!Total population 5 years and over"
"S1603_C02_001E","People who speak only English at home!!Estimate!!Total population 5 years and over"
"S1603_C02_001M","People who speak only English at home!!Margin of Error!!Total population 5 years and over"
"S1603_C03_001E","Percent distribution of people who speak a language other than English at home!!Total!!Estimate!!Total population 5 years and over"
"S1603_C03_001M","Percent distribution of people who speak a language other than English at home!!Total!!Margin of Error!!Total population 5 years and over"
"S1603_C04_001E","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Estimate!!Total population 5 years and over"
"S1603_C04_001M","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Margin of Error!!Total population 5 years and over"
"S1603_C01_002E","Total!!Estimate!!AGE!!5 to 17 years"
"S1603_C01_002M","Total!!Margin of Error!!AGE!!5 to 17 years"
"S1603_C02_002E","People who speak only English at home!!Estimate!!AGE!!5 to 17 years"
"S1603_C02_002M","People who speak only English at home!!Margin of Error!!AGE!!5 to 17 years"
"S1603_C03_002E","Percent distribution of people who speak a language other than English at home!!Total!!Estimate!!AGE!!5 to 17 years"
"S1603_C03_002M","Percent distribution of people who speak a language other than English at home!!Total!!Margin of Error!!AGE!!5 to 17 years"
"S1603_C04_002E","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Estimate!!AGE!!5 to 17 years"
"S1603_C04_002M","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Margin of Error!!AGE!!5 to 17 years"
"S1603_C01_003E","Total!!Estimate!!AGE!!18 to 64 years"
"S1603_C01_003M","Total!!Margin of Error!!AGE!!18 to 64 years"
"S1603_C02_003E","People who speak only English at home!!Estimate!!AGE!!18 to 64 years"
"S1603_C02_003M","People who speak only English at home!!Margin of Error!!AGE!!18 to 64 years"
"S1603_C03_003E","Percent distribution of people who speak a language other than English at home!!Total!!Estimate!!AGE!!18 to 64 years"
"S1603_C03_003M","Percent distribution of people who speak a language other than English at home!!Total!!Margin of Error!!AGE!!18 to 64 years"
"S1603_C04_003E","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Estimate!!AGE!!18 to 64 years"
"S1603_C04_003M","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Margin of Error!!AGE!!18 to 64 years"
"S1603_C01_004E","Total!!Estimate!!AGE!!65 years and over"
"S1603_C01_004M","Total!!Margin of Error!!AGE!!65 years and over"
"S1603_C02_004E","People who speak only English at home!!Estimate!!AGE!!65 years and over"
"S1603_C02_004M","People who speak only English at home!!Margin of Error!!AGE!!65 years and over"
"S1603_C03_004E","Percent distribution of people who speak a language other than English at home!!Total!!Estimate!!AGE!!65 years and over"
"S1603_C03_004M","Percent distribution of people who speak a language other than English at home!!Total!!Margin of Error!!AGE!!65 years and over"
"S1603_C04_004E","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Estimate!!AGE!!65 years and over"
"S1603_C04_004M","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Margin of Error!!AGE!!65 years and over"
"S1603_C01_005E","Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
"S1603_C01_005M","Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
"S1603_C02_005E","People who speak only English at home!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
"S1603_C02_005M","People who speak only English at home!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
"S1603_C03_005E","Percent distribution of people who speak a language other than English at home!!Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
"S1603_C03_005M","Percent distribution of people who speak a language other than English at home!!Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
"S1603_C04_005E","Percent distribution of people who speak a language other than English at home!!Spanish or Spanish Creole!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over"
