"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"1","Texas",27319920,4833485,493012,494041,223655,0.177,0.018,0.018,0.008,"State","State"
"2","Anderson",55103,4460,75,199,217,0.081,0.001,0.004,0.004,"Upper East","Rural"
"3","Andrews",16861,3924,30,20,73,0.233,0.002,0.001,0.004,"West Texas","Rural"
"4","Angelina",80974,9547,274,222,486,0.118,0.003,0.003,0.006,"Southeast","Rural"
"5","Aransas",22987,3089,108,180,9,0.134,0.005,0.008,0,"South Texas","Urban"
"6","Archer",8207,228,2,99,0,0.028,0,0.012,0,"Northwest","Urban"
"7","Armstrong",1796,96,2,0,2,0.053,0.001,0,0.001,"High Plains","Urban"
"8","Atascosa",45990,12102,89,257,71,0.263,0.002,0.006,0.002,"Alamo","Urban"
"9","Austin",28758,3819,111,660,7,0.133,0.004,0.023,0,"Gulf Coast","Urban"
"10","Bailey",6342,1978,72,57,0,0.312,0.011,0.009,0,"High Plains","Rural"
"11","Bandera",20450,1543,29,123,31,0.075,0.001,0.006,0.002,"Alamo","Urban"
"12","Bastrop",92071,18887,410,754,101,0.205,0.004,0.008,0.001,"Capitol","Urban"
"13","Baylor",3313,146,19,81,0,0.044,0.006,0.024,0,"Northwest","Rural"
"14","Bee",29393,7898,17,146,37,0.269,0.001,0.005,0.001,"South Texas","Rural"
"15","Bell",343227,35433,5079,5781,2067,0.103,0.015,0.017,0.006,"Central Texas","Urban"
"16","Bexar",1880365,451024,20932,20299,7798,0.24,0.011,0.011,0.004,"Alamo","Urban"
"17","Blanco",11184,591,138,127,1,0.053,0.012,0.011,0,"Capitol","Rural"
"18","Borden",626,25,0,3,0,0.04,0,0.005,0,"West Texas","Rural"
"19","Bosque",17465,1830,42,65,7,0.105,0.002,0.004,0,"Central Texas","Urban"
"20","Bowie",87049,2321,397,553,87,0.027,0.005,0.006,0.001,"Upper East","Urban"
"21","Brazoria",350384,49818,9547,4774,2782,0.142,0.027,0.014,0.008,"Gulf Coast","Urban"
"22","Brazos",221415,23082,5596,4626,1583,0.104,0.025,0.021,0.007,"Central Texas","Urban"
"23","Brewster",9005,1616,91,55,50,0.179,0.01,0.006,0.006,"Upper Rio Grande","Rural"
"24","Briscoe",1234,249,0,0,0,0.202,0,0,0,"High Plains","Rural"
"25","Brooks",6860,3980,70,0,0,0.58,0.01,0,0,"South Texas","Rural"
"26","Brown",36229,4661,33,87,18,0.129,0.001,0.002,0,"Northwest","Rural"
"27","Burleson",16961,1511,53,31,0,0.089,0.003,0.002,0,"Central Texas","Urban"
"28","Burnet",47269,3987,82,186,23,0.084,0.002,0.004,0,"Capitol","Rural"
"29","Caldwell",43282,9403,112,122,88,0.217,0.003,0.003,0.002,"Capitol","Urban"
"30","Calhoun",18873,2975,350,48,12,0.158,0.019,0.003,0.001,"Alamo","Rural"
"31","Callahan",13142,656,20,150,0,0.05,0.002,0.011,0,"Northwest","Urban"
"32","Cameron",390450,183452,904,998,289,0.47,0.002,0.003,0.001,"South Texas","Urban"
"33","Camp",11725,978,28,51,0,0.083,0.002,0.004,0,"Upper East","Rural"
