"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual"
"1","Texas",23280055,0.346,"58.5",57.5,53.9,74.8,28.4,6848380,594568,465601,145288,3937818,320472,348270,41262
"2","Anderson County, Texas",55113,0.131,"65.3",64.9,50.5,95.4,4.9,6706,305,110,102,4352,154,105,5
"3","Andrews County, Texas",13747,0.399,"62.6",63.5,37.5,100,0,5235,216,27,0,3324,81,27,0
"4","Angelina County, Texas",80130,0.169,"59.4",58,69.1,89.7,0,12781,249,401,57,7413,172,360,0
"5","Aransas County, Texas",22118,0.176,"64.6",66.8,42.5,80.3,75.8,3359,325,133,66,2244,138,107,50
"6","Archer County, Texas",8520,0.069,"51.6",52.3,30.8,80,0,535,39,17,0,280,12,14,0
"7","Armstrong County, Texas",1720,0.074,"74",74.4,57.1,100,0,117,7,3,0,87,4,3,0
"8","Atascosa County, Texas",41674,0.404,"69.5",69.4,56.1,89.7,29.3,16548,82,125,75,11484,46,112,22
"9","Austin County, Texas",26546,0.193,"57.4",55,61.8,81.6,0,4617,34,451,0,2539,21,368,0
"10","Bailey County, Texas",6478,0.462,"67.9",68.2,0,0,0,2979,12,0,0,2032,0,0,0
"11","Bandera County, Texas",19471,0.108,"83.5",83.6,70.7,89.9,0,1850,92,156,0,1547,65,140,0
"12","Bastrop County, Texas",69095,0.245,"60.3",59.8,64.7,81.7,61.1,15997,470,345,72,9566,304,282,44
"13","Baylor County, Texas",3520,0.065,"53.9",46.4,0,100,0,196,0,32,0,91,0,32,0
"14","Bee County, Texas",30197,0.364,"78.1",78.3,98,63.4,38.9,10634,101,181,72,8326,99,115,28
"15","Bell County, Texas",282057,0.172,"69.9",69.4,63.2,77.3,17.6,34908,6301,6487,892,24226,3982,5014,157
"16","Bexar County, Texas",1589642,0.424,"70.4",70.8,55.9,79.3,37.4,616080,26232,23845,7010,436185,14664,18909,2622
"17","Blanco County, Texas",9883,0.147,"48.7",46,100,84.5,100,1341,7,99,5,617,7,84,5
"18","Borden County, Texas",578,0.1,"86.2",87.3,0,66.7,0,55,0,3,0,48,0,2,0
"19","Bosque County, Texas",17128,0.129,"62.8",62.7,72,59.6,0,2141,25,51,3,1342,18,30,0
"20","Bowie County, Texas",86491,0.068,"63",61.2,41.5,92.5,14,4450,636,605,186,2723,264,560,26
"21","Brazoria County, Texas",289310,0.252,"69.3",67.5,69.4,82.5,15.9,55027,10550,6076,1133,37143,7322,5013,180
"22","Brazos County, Texas",181532,0.224,"59",57.1,53.7,70.8,17.1,28285,6105,5446,855,16151,3278,3856,146
"23","Brewster County, Texas",8664,0.378,"85.8",86.1,74.4,87.3,0,3109,86,78,0,2677,64,68,0
"24","Briscoe County, Texas",1533,0.2,"58.2",58.2,0,0,0,306,0,0,0,178,0,0,0
"25","Brooks County, Texas",6663,0.687,"77.4",78.2,14.3,100,0,4503,63,13,0,3521,9,13,0
"26","Brown County, Texas",35699,0.084,"62.1",64.8,29.3,31,0,2756,123,107,3,1786,36,33,0
"27","Burleson County, Texas",16089,0.139,"54",50.9,100,68.4,0,1904,33,306,0,969,33,209,0
"28","Burnet County, Texas",40513,0.138,"55.9",55.9,18.3,67,4.5,5132,115,324,22,2869,21,217,1
"29","Caldwell County, Texas",35535,0.299,"74.8",74.9,44.6,82.9,11.1,10450,65,71,18,7827,29,59,2
"30","Calhoun County, Texas",19846,0.279,"59.8",60.5,45.1,100,66.7,4918,486,99,30,2975,219,99,20
"31","Callahan County, Texas",12706,0.048,"72.9",70.4,71.4,85.2,0,521,14,51,23,367,10,43,0
"32","Cameron County, Texas",369397,0.732,"59.5",59.4,63.8,64.5,23.7,266994,1631,1478,417,158594,1041,953,99
"33","Camp County, Texas",11527,0.21,"43.1",42.9,100,57.9,73.3,2341,9,35,30,1004,9,20,22
"34","Carson County, Texas",5867,0.077,"81.2",80.1,100,100,0,428,10,12,0,343,10,12,0
"35","Cass County, Texas",28596,0.034,"68",63.9,60.3,100,0,803,58,114,14,513,35,114,0
"36","Castro County, Texas",7286,0.499,"58",58.2,0,100,0,3619,12,7,0,2106,0,7,0
"37","Chambers County, Texas",32154,0.179,"61.9",59.3,28.7,90,0,4903,195,611,54,2907,56,550,0
"38","Cherokee County, Texas",47099,0.164,"54.5",54,38.1,91.7,0,7445,126,141,29,4020,48,129,0
"39","Childress County, Texas",6797,0.144,"73.6",75.2,100,55.1,0,846,13,109,10,636,13,60,0
"40","Clay County, Texas",10128,0.03,"74.1",69.6,100,89.1,0,237,4,61,0,165,4,54,0
"41","Cochran County, Texas",2845,0.417,"57.6",59.5,50,17.3,0,1133,2,51,0,674,1,9,0
"42","Coke County, Texas",3134,0.137,"81.8",81.6,0,100,0,425,0,3,0,347,0,3,0
"43","Coleman County, Texas",8235,0.048,"71.1",67.9,100,100,0,355,4,33,0,241,4,33,0
"44","Collin County, Texas",730066,0.249,"62.6",57.6,60.1,71.5,23.4,80577,49457,40154,11967,46412,29724,28710,2800
"45","Collingsworth County, Texas",2783,0.263,"61.9",63.1,100,31.8,70,678,13,22,20,428,13,7,14
"46","Colorado County, Texas",19563,0.214,"68",68,24.4,79.4,0,3743,90,352,0,2545,22,279,0
"47","Comal County, Texas",102769,0.177,"72.9",70.3,71.7,89.3,13.4,15140,612,2364,97,10643,439,2111,13
"48","Comanche County, Texas",12969,0.199,"59.3",58.3,100,86.3,0,2500,11,78,0,1458,11,67,0
"49","Concho County, Texas",3906,0.413,"32.9",31.7,100,81.3,0,1582,15,16,0,501,15,13,0
"50","Cooke County, Texas",35725,0.141,"58.1",57,47,87.9,13.6,4639,168,179,44,2644,79,157,6
"51","Coryell County, Texas",69473,0.146,"74.5",75.9,58,79.7,30.1,6826,1168,1945,143,5181,677,1550,43
"52","Cottle County, Texas",1508,0.11,"71.1",71.6,0,100,0,162,2,2,0,116,0,2,0
"53","Crane County, Texas",4048,0.474,"65.4",65.3,0,100,0,1913,0,4,0,1249,0,4,0
"54","Crockett County, Texas",3362,0.419,"68.9",69.4,0,31.3,0,1391,0,17,0,965,0,5,0
"55","Crosby County, Texas",5593,0.346,"66.2",66,0,100,0,1924,0,11,0,1270,0,11,0
"56","Culberson County, Texas",2232,0.643,"79.7",79.4,0,100,0,1415,0,16,6,1124,0,16,0
"57","Dallam County, Texas",6105,0.347,"48.9",52.6,0,31.6,0,1792,31,293,0,943,0,93,0
