"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"1","Texas",27319920,9582417,7790925,840845,650672,299975,4833485,493012,494041,223655,0.62,0.586,0.759,0.746
"2","Anderson County, Texas",55103,6977,6151,315,241,270,4460,75,199,217,0.725,0.238,0.826,0.804
"3","Andrews County, Texas",16861,6657,6531,30,20,76,3924,30,20,73,0.601,1,1,0.961
"4","Angelina County, Texas",80974,15545,14234,457,270,584,9547,274,222,486,0.671,0.6,0.822,0.832
"5","Aransas County, Texas",22987,4263,3683,388,180,12,3089,108,180,9,0.839,0.278,1,0.75
"6","Archer County, Texas",8207,580,472,9,99,0,228,2,99,0,0.483,0.222,1,0
"7","Armstrong County, Texas",1796,133,129,2,0,2,96,2,0,2,0.744,1,0,1
"8","Atascosa County, Texas",45990,18467,17950,103,268,146,12102,89,257,71,0.674,0.864,0.959,0.486
"9","Austin County, Texas",28758,6490,5607,140,734,9,3819,111,660,7,0.681,0.793,0.899,0.778
"10","Bailey County, Texas",6342,3809,3667,72,70,0,1978,72,57,0,0.539,1,0.814,0
"11","Bandera County, Texas",20450,2759,2453,63,212,31,1543,29,123,31,0.629,0.46,0.58,1
"12","Bastrop County, Texas",92071,29144,27535,550,916,143,18887,410,754,101,0.686,0.745,0.823,0.706
"13","Baylor County, Texas",3313,256,156,19,81,0,146,19,81,0,0.936,1,1,0
"14","Bee County, Texas",29393,10398,10055,61,230,52,7898,17,146,37,0.785,0.279,0.635,0.712
"15","Bell County, Texas",343227,66219,49373,7613,6709,2524,35433,5079,5781,2067,0.718,0.667,0.862,0.819
"16","Bexar County, Texas",1880365,714764,639918,34175,28866,11805,451024,20932,20299,7798,0.705,0.612,0.703,0.661
"17","Blanco County, Texas",11184,1212,918,166,127,1,591,138,127,1,0.644,0.831,1,1
"18","Borden County, Texas",626,31,28,0,3,0,25,0,3,0,0.893,0,1,0
"19","Bosque County, Texas",17465,2671,2487,102,73,9,1830,42,65,7,0.736,0.412,0.89,0.778
"20","Bowie County, Texas",87049,5496,3953,639,799,105,2321,397,553,87,0.587,0.621,0.692,0.829
"21","Brazoria County, Texas",350384,96298,70202,16827,6181,3088,49818,9547,4774,2782,0.71,0.567,0.772,0.901
"22","Brazos County, Texas",221415,52373,35976,8763,5643,1991,23082,5596,4626,1583,0.642,0.639,0.82,0.795
"23","Brewster County, Texas",9005,2635,2439,91,55,50,1616,91,55,50,0.663,1,1,1
"24","Briscoe County, Texas",1234,325,325,0,0,0,249,0,0,0,0.766,0,0,0
"25","Brooks County, Texas",6860,4707,4637,70,0,0,3980,70,0,0,0.858,1,0,0
"26","Brown County, Texas",36229,6142,5841,112,171,18,4661,33,87,18,0.798,0.295,0.509,1
"27","Burleson County, Texas",16961,2922,2790,90,42,0,1511,53,31,0,0.542,0.589,0.738,0
"28","Burnet County, Texas",47269,6771,6364,158,226,23,3987,82,186,23,0.626,0.519,0.823,1
"29","Caldwell County, Texas",43282,14908,14567,112,134,95,9403,112,122,88,0.646,1,0.91,0.926
"30","Calhoun County, Texas",18873,5195,4367,768,48,12,2975,350,48,12,0.681,0.456,1,1
"31","Callahan County, Texas",13142,989,738,59,192,0,656,20,150,0,0.889,0.339,0.781,0
"32","Cameron County, Texas",390450,277044,273744,1785,1225,290,183452,904,998,289,0.67,0.506,0.815,0.997
"33","Camp County, Texas",11725,1743,1593,28,87,35,978,28,51,0,0.614,1,0.586,0
"34","Carson County, Texas",5425,174,155,9,10,0,109,7,10,0,0.703,0.778,1,0
"35","Cass County, Texas",27024,1453,715,451,252,35,496,216,221,35,0.694,0.479,0.877,1
"36","Castro County, Texas",6806,3554,3498,55,1,0,2646,24,1,0,0.756,0.436,1,0
"37","Chambers County, Texas",43929,9036,8377,443,178,38,6424,235,174,38,0.767,0.53,0.978,1
"38","Cherokee County, Texas",47336,9815,9612,161,27,15,5516,85,16,14,0.574,0.528,0.593,0.933
"39","Childress County, Texas",6408,1427,1424,0,3,0,1145,0,3,0,0.804,0,1,0
"40","Clay County, Texas",9828,543,438,60,37,8,290,11,35,8,0.662,0.183,0.946,1
"41","Cochran County, Texas",2334,1156,1084,0,71,1,742,0,21,1,0.685,0,0.296,1
"42","Coke County, Texas",3173,348,322,26,0,0,236,16,0,0,0.733,0.615,0,0
"43","Coleman County, Texas",7454,1346,1293,41,8,4,1059,30,4,4,0.819,0.732,0.5,1
"44","Collin County, Texas",1016063,302180,113371,92137,75179,21493,72930,60552,58333,16014,0.643,0.657,0.776,0.745
"45","Collingsworth County, Texas",2688,369,296,0,73,0,132,0,73,0,0.446,0,1,0
"46","Colorado County, Texas",19335,4009,3842,15,117,35,2914,15,97,35,0.758,1,0.829,1
"47","Comal County, Texas",156246,25275,21692,1035,2172,376,16819,708,1897,307,0.775,0.684,0.873,0.816
"48","Comanche County, Texas",12913,2894,2691,41,135,27,1809,31,130,27,0.672,0.756,0.963,1
"49","Concho County, Texas",3106,1107,1042,27,36,2,474,11,0,0,0.455,0.407,0,0
"50","Cooke County, Texas",39187,5556,5047,164,342,3,2638,72,196,3,0.523,0.439,0.573,1
"51","Coryell County, Texas",77521,11623,8356,1340,1731,196,6155,888,1451,145,0.737,0.663,0.838,0.74
