"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"1","Texas",23280055,0.346,0.585,57.5,53.9,74.8,28.4,6848380,594568,465601,145288,65.4,3937818,320472,348270,41262,0.169,0.014,0.015,0.002
"2","Anderson County, Texas",55113,0.131,0.653,64.9,50.5,95.4,4.9,6706,305,110,102,86.9,4352,154,105,5,0.079,0.003,0.002,0
"3","Andrews County, Texas",13747,0.399,0.626,63.5,37.5,100,0,5235,216,27,0,60.1,3324,81,27,0,0.242,0.006,0.002,0
"4","Angelina County, Texas",80130,0.169,0.594,58,69.1,89.7,0,12781,249,401,57,83.1,7413,172,360,0,0.093,0.002,0.004,0
"5","Aransas County, Texas",22118,0.176,0.646,66.8,42.5,80.3,75.8,3359,325,133,66,82.4,2244,138,107,50,0.101,0.006,0.005,0.002
"6","Archer County, Texas",8520,0.069,0.516,52.3,30.8,80,0,535,39,17,0,93.1,280,12,14,0,0.033,0.001,0.002,0
"7","Armstrong County, Texas",1720,0.074,0.74,74.4,57.1,100,0,117,7,3,0,92.6,87,4,3,0,0.051,0.002,0.002,0
"8","Atascosa County, Texas",41674,0.404,0.695,69.4,56.1,89.7,29.3,16548,82,125,75,59.6,11484,46,112,22,0.276,0.001,0.003,0.001
"9","Austin County, Texas",26546,0.193,0.574,55,61.8,81.6,0,4617,34,451,0,80.7,2539,21,368,0,0.096,0.001,0.014,0
"10","Bailey County, Texas",6478,0.462,0.679,68.2,0,0,0,2979,12,0,0,53.8,2032,0,0,0,0.314,0,0,0
"11","Bandera County, Texas",19471,0.108,0.835,83.6,70.7,89.9,0,1850,92,156,0,89.2,1547,65,140,0,0.079,0.003,0.007,0
"12","Bastrop County, Texas",69095,0.245,0.603,59.8,64.7,81.7,61.1,15997,470,345,72,75.5,9566,304,282,44,0.138,0.004,0.004,0.001
"13","Baylor County, Texas",3520,0.065,0.539,46.4,0,100,0,196,0,32,0,93.5,91,0,32,0,0.026,0,0.009,0
"14","Bee County, Texas",30197,0.364,0.781,78.3,98,63.4,38.9,10634,101,181,72,63.6,8326,99,115,28,0.276,0.003,0.004,0.001
"15","Bell County, Texas",282057,0.172,0.699,69.4,63.2,77.3,17.6,34908,6301,6487,892,82.8,24226,3982,5014,157,0.086,0.014,0.018,0.001
"16","Bexar County, Texas",1589642,0.424,0.704,70.8,55.9,79.3,37.4,616080,26232,23845,7010,57.6,436185,14664,18909,2622,0.274,0.009,0.012,0.002
"17","Blanco County, Texas",9883,0.147,0.487,46,100,84.5,100,1341,7,99,5,85.3,617,7,84,5,0.062,0.001,0.008,0.001
"18","Borden County, Texas",578,0.1,0.862,87.3,0,66.7,0,55,0,3,0,90,48,0,2,0,0.083,0,0.003,0
"19","Bosque County, Texas",17128,0.129,0.628,62.7,72,59.6,0,2141,25,51,3,87.1,1342,18,30,0,0.078,0.001,0.002,0
"20","Bowie County, Texas",86491,0.068,0.63,61.2,41.5,92.5,14,4450,636,605,186,93.2,2723,264,560,26,0.031,0.003,0.006,0
"21","Brazoria County, Texas",289310,0.252,0.693,67.5,69.4,82.5,15.9,55027,10550,6076,1133,74.8,37143,7322,5013,180,0.128,0.025,0.017,0.001
"22","Brazos County, Texas",181532,0.224,0.59,57.1,53.7,70.8,17.1,28285,6105,5446,855,77.6,16151,3278,3856,146,0.089,0.018,0.021,0.001
"23","Brewster County, Texas",8664,0.378,0.858,86.1,74.4,87.3,0,3109,86,78,0,62.2,2677,64,68,0,0.309,0.007,0.008,0
"24","Briscoe County, Texas",1533,0.2,0.582,58.2,0,0,0,306,0,0,0,80,178,0,0,0,0.116,0,0,0
"25","Brooks County, Texas",6663,0.687,0.774,78.2,14.3,100,0,4503,63,13,0,31.3,3521,9,13,0,0.528,0.001,0.002,0
"26","Brown County, Texas",35699,0.084,0.621,64.8,29.3,31,0,2756,123,107,3,91.6,1786,36,33,0,0.05,0.001,0.001,0
"27","Burleson County, Texas",16089,0.139,0.54,50.9,100,68.4,0,1904,33,306,0,86.1,969,33,209,0,0.06,0.002,0.013,0
"28","Burnet County, Texas",40513,0.138,0.559,55.9,18.3,67,4.5,5132,115,324,22,86.2,2869,21,217,1,0.071,0.001,0.005,0
"29","Caldwell County, Texas",35535,0.299,0.748,74.9,44.6,82.9,11.1,10450,65,71,18,70.1,7827,29,59,2,0.22,0.001,0.002,0
"30","Calhoun County, Texas",19846,0.279,0.598,60.5,45.1,100,66.7,4918,486,99,30,72.1,2975,219,99,20,0.15,0.011,0.005,0.001
"31","Callahan County, Texas",12706,0.048,0.729,70.4,71.4,85.2,0,521,14,51,23,95.2,367,10,43,0,0.029,0.001,0.003,0
