"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Monolangual","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Other_Langual_Not_Bilingual","Overall_Bilingual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Percent_Overall_Bilingual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"1","Texas",27319920,9582417,7790925,840845,650672,299975,17737503,4833485,493012,494041,223655,3538224,6044193,0.62,0.586,0.759,0.746,0.221,0.177,0.018,0.018,0.008
"2","Anderson County, Texas",55103,6977,6151,315,241,270,48126,4460,75,199,217,2026,4951,0.725,0.238,0.826,0.804,0.09,0.081,0.001,0.004,0.004
"3","Andrews County, Texas",16861,6657,6531,30,20,76,10204,3924,30,20,73,2610,4047,0.601,1,1,0.961,0.24,0.233,0.002,0.001,0.004
"4","Angelina County, Texas",80974,15545,14234,457,270,584,65429,9547,274,222,486,5016,10529,0.671,0.6,0.822,0.832,0.13,0.118,0.003,0.003,0.006
"5","Aransas County, Texas",22987,4263,3683,388,180,12,18724,3089,108,180,9,877,3386,0.839,0.278,1,0.75,0.147,0.134,0.005,0.008,0
"6","Archer County, Texas",8207,580,472,9,99,0,7627,228,2,99,0,251,329,0.483,0.222,1,0,0.04,0.028,0,0.012,0
"7","Armstrong County, Texas",1796,133,129,2,0,2,1663,96,2,0,2,33,100,0.744,1,0,1,0.056,0.053,0.001,0,0.001
"8","Atascosa County, Texas",45990,18467,17950,103,268,146,27523,12102,89,257,71,5948,12519,0.674,0.864,0.959,0.486,0.272,0.263,0.002,0.006,0.002
"9","Austin County, Texas",28758,6490,5607,140,734,9,22268,3819,111,660,7,1893,4597,0.681,0.793,0.899,0.778,0.16,0.133,0.004,0.023,0
"10","Bailey County, Texas",6342,3809,3667,72,70,0,2533,1978,72,57,0,1702,2107,0.539,1,0.814,0,0.332,0.312,0.011,0.009,0
"11","Bandera County, Texas",20450,2759,2453,63,212,31,17691,1543,29,123,31,1033,1726,0.629,0.46,0.58,1,0.084,0.075,0.001,0.006,0.002
"12","Bastrop County, Texas",92071,29144,27535,550,916,143,62927,18887,410,754,101,8992,20152,0.686,0.745,0.823,0.706,0.219,0.205,0.004,0.008,0.001
"13","Baylor County, Texas",3313,256,156,19,81,0,3057,146,19,81,0,10,246,0.936,1,1,0,0.074,0.044,0.006,0.024,0
"14","Bee County, Texas",29393,10398,10055,61,230,52,18995,7898,17,146,37,2300,8098,0.785,0.279,0.635,0.712,0.276,0.269,0.001,0.005,0.001
"15","Bell County, Texas",343227,66219,49373,7613,6709,2524,277008,35433,5079,5781,2067,17859,48360,0.718,0.667,0.862,0.819,0.141,0.103,0.015,0.017,0.006
"16","Bexar County, Texas",1880365,714764,639918,34175,28866,11805,1165601,451024,20932,20299,7798,214711,500053,0.705,0.612,0.703,0.661,0.266,0.24,0.011,0.011,0.004
