"","Bilingual","Quintile","median_income","se"
"Bilingual.1","Bilingual","1",7584.81081081082,81.8859129126233
"Not Bilingual.1","Not Bilingual","1",7599,112.497413193658
"Bilingual.2","Bilingual","2",21900,62.243467678083
"Not Bilingual.2","Not Bilingual","2",24861,96.6814530732867
"Bilingual.3","Bilingual","3",36400,122.956428188505
"Not Bilingual.3","Not Bilingual","3",45360,57.6517393847912
"Bilingual.4","Bilingual","4",58453,106.238871664642
"Not Bilingual.4","Not Bilingual","4",71189,168.114487529193
"Bilingual.5","Bilingual","5",110000,565.803420581466
"Not Bilingual.5","Not Bilingual","5",135977,424.99024682921
