"","Occupation_Label","Bilingual_StatusBilingual","Bilingual_StatusEnglish Monolingual","Bilingual_StatusNE Monolingual","se.Bilingual_StatusBilingual","se.Bilingual_StatusEnglish Monolingual","se.Bilingual_StatusNE Monolingual"
"Computer, Engineering, and Science Occupations","Computer, Engineering, and Science Occupations",286519,574274,8590,3983.21427485503,5254.78468398572,639.501039725979
"Construction and Extraction Occupations","Construction and Extraction Occupations",330087,332908,230901,4598.17501569877,4282.64672571203,4162.27971638703
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Legal, Community Service, Arts, and Media Occupations",348518,981873,19379,4298.76111655941,7091.87804673438,1072.3462941139
"Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations",14691,21677,10304,936.755670541234,997.282948762276,802.826186617133
"Healthcare Practitioners and Technical Occupations","Healthcare Practitioners and Technical Occupations",216669,503000,6908,3717.94249518926,4981.07235162808,512.904219531055
"Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Occupations",149078,277572,38157,2869.57764360326,3768.9222163506,1519.43018079781
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",539334,1595743,35941,5824.92289296674,9047.53481778825,1383.65734991459
"Military Occupations","Military Occupations",10072,46644,351,690.96994117959,1475.73453205428,121.444131933562
"Office and Administrative Support Occupations","Office and Administrative Support Occupations",416942,974287,29375,4827.12934203815,7219.81445020672,1218.41492947062
"Production Occupations","Production Occupations",214243,337752,94833,3432.37556696261,4223.97437080723,2334.20131640168
"Sales and Related Occupations","Sales and Related Occupations",397599,890231,43234,4879.39591341465,6969.94535580224,1545.36963697429
"Service Occupations","Service Occupations",701085,1193736,294366,6816.71543676287,8258.6304013983,4485.06295008199
"Transportation and Material Moving Occupations","Transportation and Material Moving Occupations",343654,642826,89378,4724.49129085069,6194.77188707414,2304.07149769523
