"","Occupation_Label","LINGISOLLinguistically isolated","LINGISOLNot linguistically isolated","se.LINGISOLLinguistically isolated","se.LINGISOLNot linguistically isolated"
"Computer, Engineering, and Science Occupations","Computer, Engineering, and Science Occupations",22807,271545,993.3947735801,3860.28214471721
"Construction and Extraction Occupations","Construction and Extraction Occupations",176886,383658,3706.81158925105,5121.64092192302
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Legal, Community Service, Arts, and Media Occupations",27885,336867,1185.02588508347,4201.9522271115
"Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations",7252,17485,691.81606919574,1036.69541908918
"Healthcare Practitioners and Technical Occupations","Healthcare Practitioners and Technical Occupations",14411,208630,896.32079127485,3612.33081706519
"Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Occupations",34932,151301,1457.16912281029,2920.76245319875
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",45052,529099,1660.29765084403,5629.91560749168
"Military Occupations","Military Occupations",453,7091,126.701672818893,639.5830186659
"Office and Administrative Support Occupations","Office and Administrative Support Occupations",38015,406010,1418.64272448499,4689.2038374108
"Production Occupations","Production Occupations",72411,236488,2097.00113225595,3630.11301504096
"Sales and Related Occupations","Sales and Related Occupations",51267,387711,1743.36163173014,4765.74794576579
"Service Occupations","Service Occupations",216492,774354,3953.64238592781,7290.67183250475
"Transportation and Material Moving Occupations","Transportation and Material Moving Occupations",81861,349933,2272.29341002189,4746.22749982976
