"","Age_Group","Men","Women"
"1","[5,10)",92250,85787
"2","[10,15)",77877,74539
"3","[15,20)",35600,30744
"4","[20,25)",47788,43058
"5","[25,30)",63562,66387
"6","[30,35)",86952,73864
"7","[35,40)",86304,67181
"8","[40,45)",73014,53686
"9","[45,50)",62275,50984
"10","[50,55)",57261,50304
"11","[55,60)",56787,50964
"12","[60,65)",52291,52878
"13","[65,70)",43663,47173
"14","[70,75)",32387,36040
"15","[75,80)",21350,26211
"16","[80,85)",12670,16833
"17","[85,90)",5287,9824
"18","[90,95)",4133,8394
