"","AGE","I(AGE == AGE)FALSE","I(AGE == AGE)TRUE","se.I(AGE == AGE)FALSE","se.I(AGE == AGE)TRUE"
"5",5,0,35465,0,1497.21142761795
"6",6,0,35134,0,1386.53055193796
"7",7,0,35585,0,1410.30796119929
"8",8,0,37001,0,1487.9483767708
"9",9,0,34852,0,1344.22206911129
"10",10,0,33293,0,1330.9944274258
"11",11,0,37030,0,1472.01478123661
"12",12,0,35053,0,1407.172421416
"13",13,0,33998,0,1386.69568492327
"14",14,0,13042,0,817.687660067866
"15",15,0,14629,0,1002.58482579266
"16",16,0,12045,0,781.6412816615
"17",17,0,12847,0,804.565509192474
"18",18,0,14353,0,942.340908774872
"19",19,0,12470,0,876.368214124027
"20",20,0,14705,0,896.792987684915
"21",21,0,17703,0,1062.62645544396
"22",22,0,17867,0,1029.72461404465
"23",23,0,20324,0,1118.82086517261
"24",24,0,20247,0,1085.4929461095
"25",25,0,24490,0,1266.43123287504
"26",26,0,24712,0,1163.04307257961
"27",27,0,27036,0,1257.71976517893
"28",28,0,27520,0,1327.9241928438
"29",29,0,26191,0,1179.94700036275
"30",30,0,31606,0,1259.82495762342
"31",31,0,30755,0,1331.15916337694
"32",32,0,33166,0,1339.42483740106
"33",33,0,31863,0,1459.0824470851
"34",34,0,33426,0,1431.17798814831
"35",35,0,34196,0,1389.1016613583
"36",36,0,31523,0,1404.61090644139
"37",37,0,30730,0,1419.09199403162
"38",38,0,31703,0,1400.95282816136
"39",39,0,25333,0,1140.44149108032
"40",40,0,31213,0,1342.25145827532
"41",41,0,25186,0,1239.86760711365
"42",42,0,27063,0,1276.87952637945
"43",43,0,21461,0,1014.63902760515
"44",44,0,21777,0,1090.96865553252
"45",45,0,26062,0,1189.64375326186
"46",46,0,21757,0,1117.94781359547
"47",47,0,24568,0,1209.63220082133
"48",48,0,21061,0,1020.06731660802
"49",49,0,19811,0,1030.1544353956
"50",50,0,23083,0,1078.21603284767
"51",51,0,19351,0,1026.19390964479
"52",52,0,21501,0,1059.09852384231
"53",53,0,21955,0,1063.92105789021
"54",54,0,21675,0,1028.66176780077
"55",55,0,23647,0,1100.47914449064
"56",56,0,23189,0,1214.2686938869
"57",57,0,18152,0,875.925719232618
"58",58,0,21116,0,937.721585249425
"59",59,0,21647,0,1065.13338908783
"60",60,0,22874,0,1096.6269419703
"61",61,0,20287,0,996.099143796217
"62",62,0,22376,0,1111.81141161947
"63",63,0,19643,0,876.601690711371
"64",64,0,19989,0,951.184534942623
"65",65,0,20388,0,936.65092239081
"66",66,0,18551,0,961.926404385599
"67",67,0,17994,0,899.470117822189
"68",68,0,17036,0,961.287048266456
"69",69,0,16867,0,943.682307449457
"70",70,0,15422,0,818.244307948362
"71",71,0,13747,0,851.154267814771
"72",72,0,14158,0,790.03984924874
"73",73,0,12154,0,709.737758510517
"74",74,0,12946,0,798.068295459072
"75",75,0,11685,0,759.575235270973
"76",76,0,10695,0,719.689472842366
"77",77,0,8904,0,585.539903335553
"78",78,0,8080,0,565.073638159708
"79",79,0,8197,0,595.766310193985
"80",80,0,6303,0,432.964009977883
"81",81,0,6516,0,486.251780706052
"82",82,0,6160,0,528.046146990073
"83",83,0,5609,0,532.131399141262
"84",84,0,4915,0,457.894712540118
"85",85,0,4915,0,530.009646783552
"86",86,0,4036,0,430.122288774232
"87",87,0,3256,0,365.498923758773
"88",88,0,2904,0,329.304449466107
"92",92,0,12527,0,769.418301439066
