"","County","Total_Pop","Total_Below_Line","Total_Children_Below_Line","Only_English","Spanish","Asian_Pacific_Lang","Other_IndoEuro_Lang","Other_Lang","Region"
"1","Texas",26720703,3590691,1013378,520475,455818,10741,11099,15245,"State"
"2","Anderson",42555,6162,1635,1417,153,0,65,0,"Upper East"
"3","Andrews",16729,1989,553,439,114,0,0,0,"West Texas"
"4","Angelina",78480,12365,3696,2406,1166,0,0,124,"Southeast"
"5","Aransas",22697,3898,902,902,0,0,0,0,"South Texas"
"6","Archer",8142,965,310,284,26,0,0,0,"Northwest"
"7","Armstrong",1737,101,13,13,0,0,0,0,"High Plains"
"8","Atascosa",45263,6190,1576,1211,365,0,0,0,"Alamo"
"9","Austin",28479,3186,616,488,113,0,15,0,"Gulf Coast"
"10","Bailey",6120,752,176,3,173,0,0,0,"High Plains"
"11","Bandera",20070,2778,484,481,0,0,3,0,"Alamo"
"12","Bastrop",89649,10168,3452,1252,2200,0,0,0,"Capitol"
"13","Baylor",3234,377,44,44,0,0,0,0,"Northwest"
"14","Bee",22020,4055,1001,909,92,0,0,0,"South Texas"
"15","Bell",331730,46986,15275,12098,2885,65,110,117,"Central Texas"
"16","Bexar",1845485,270452,76767,50212,23775,572,1224,984,"Alamo"
"17","Blanco",11077,988,176,153,0,0,23,0,"Capitol"
"18","Borden",626,11,0,0,0,0,0,0,"West Texas"
"19","Bosque",17117,1978,550,517,33,0,0,0,"Central Texas"
"20","Bowie",81350,13644,3504,3310,129,0,65,0,"Upper East"
"21","Brazoria",337987,25302,6611,4302,2019,123,14,153,"Gulf Coast"
"22","Brazos",203890,49871,6725,4470,1884,122,195,54,"Central Texas"
"23","Brewster",8784,1402,186,184,2,0,0,0,"Upper Rio Grande"
"24","Briscoe",1233,306,10,10,0,0,0,0,"High Plains"
"25","Brooks",6352,2044,514,433,81,0,0,0,"South Texas"
"26","Brown",34411,4353,927,868,59,0,0,0,"Northwest"
"27","Burleson",16770,2109,548,344,204,0,0,0,"Central Texas"
"28","Burnet",46237,3642,833,740,93,0,0,0,"Capitol"
"29","Caldwell",41103,5545,1302,864,433,0,5,0,"Capitol"
"30","Calhoun",18583,1699,382,272,89,21,0,0,"Alamo"
"31","Callahan",12958,1092,223,223,0,0,0,0,"Northwest"
"32","Cameron",387937,94211,32974,11930,21021,23,0,0,"South Texas"
"33","Camp",11669,2409,640,472,168,0,0,0,"Upper East"
"34","Carson",5382,392,112,111,1,0,0,0,"High Plains"
"35","Cass",26612,4759,1388,1245,132,0,2,9,"Upper East"
"36","Castro",6724,791,196,135,61,0,0,0,"High Plains"
