"","Region","Total_English","Total_Spanish","Total_Asian_Pacific","Total_IndoEuro","Total_Other","Total_Children_Below_Line","Percent_English","Percent_Spanish","Percent_Asian_Pacific","Percent_IndoEuro","Percent_Other"
"1","Alamo",40745.771793984,19233.2056067903,461.723301123666,987.268987441377,792.533316546536,62220.5030058859,0.655,0.309,0.007,0.016,0.013
"2","Capitol",7621.88894308583,8284.62173247899,230.781500121943,232.125468372392,559.929605569474,16929.3472496286,0.45,0.489,0.014,0.014,0.033
"3","Central Texas",6908.55969971968,2063.10554948449,59.4320568252007,75.5943602413646,51.0838836888868,9157.77554995961,0.754,0.225,0.006,0.008,0.006
"4","Gulf Coast",66819.4465058919,85683.213112777,2428.11962403763,2748.6756429758,3818.08024602505,161497.535131707,0.414,0.531,0.015,0.017,0.024
"5","High Plains",3466.59344296565,958.761654240123,125.762385896453,23.6444847048986,78.2569158943628,4653.01888370148,0.745,0.206,0.027,0.005,0.017
"6","Metroplex",30255.0390706915,29594.2027941799,890.451943417398,955.87979416147,1666.38658186634,63361.9601843165,0.477,0.467,0.014,0.015,0.026
"7","Northwest",2022.69132815485,280.116070291608,12.6963580797148,37.481981408379,27.1040366738826,2380.08977460843,0.85,0.118,0.005,0.016,0.011
"8","South Texas",9431.24626177914,34252.704680552,92.5313169596572,20.8316821417874,38.4019307421146,43835.7158721747,0.215,0.781,0.002,0,0.001
"9","Southeast",3821.7987339769,1464.71897452129,76.4580471593607,17.4679537901567,25.8658015508783,5406.30951099858,0.707,0.271,0.014,0.003,0.005
"10","State",520475,455818,10741,11099,15245,1013378,0.514,0.45,0.011,0.011,0.015
"11","Upper East",2273.81984068409,838.104853281755,13.6983686661746,20.2978138599751,0.317919222253328,3146.23879571425,0.723,0.266,0.004,0.006,0
"12","Upper Rio Grande",11751.7850156495,30761.6595157364,177.389149713093,87.7305033907147,8.67664319248826,42787.2408276821,0.275,0.719,0.004,0.002,0
"13","West Texas",1916.5563790612,2198.42791218011,15.6598610916888,1.92672353516991,3.66074674870647,4136.23162261688,0.463,0.532,0.004,0,0.001
